Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Range (mm)	
112	-44.0	-60.0	38.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	2	
113	40.0	-10.0	34.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	1	
114	-32.0	-5.0	-17.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	2	
115	-44.0	38.0	13.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	0	
116	-55.0	-58.0	7.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	2	
117	-57.0	-40.0	46.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
118	36.0	-1.0	-15.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	4	
119	48.0	31.0	6.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	4	
120	-61.0	-43.0	32.0	Left Cerebrum	Parietal Lobe	Supramarginal Gyrus	Gray Matter	Brodmann area 40	0	
121	61.0	1.0	13.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	0	
122	14.0	-45.0	34.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 31	0	
123	14.0	-26.0	55.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	1	
124	0.0	-60.0	-4.0	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
125	44.0	-12.0	32.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	1	
126	38.0	-9.0	6.0	Right Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	1	
127	18.0	-33.0	74.0	No Gray Matter found						
128	22.0	-81.0	43.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 19	1	
129	26.0	-42.0	63.0	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 5	0	
130	36.0	-19.0	40.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	1	
131	20.0	-46.0	47.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	3	
132	-53.0	-5.0	-13.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	2	
133	34.0	-32.0	20.0	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	0	
134	-59.0	-6.0	6.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	0	
135	-22.0	-70.0	-2.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	1	
136	24.0	-20.0	60.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	3	
137	-42.0	-61.0	31.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	2	
138	34.0	-7.0	15.0	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	1	
139	0.0	-17.0	6.0	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	Medial Dorsal Nucleus	2	
140	-32.0	-5.0	-18.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	2	
141	63.0	-1.0	18.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	0	
142	16.0	-45.0	34.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 31	0	
143	26.0	15.0	21.0	No Gray Matter found						
144	22.0	-79.0	46.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	1	
145	16.0	-33.0	74.0	No Gray Matter found						
146	28.0	-11.0	59.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	1	
147	-30.0	-5.0	-20.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	2	
148	-4.0	4.0	-4.0	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 25	1	

