subID, vignette, correct_answer, choice1, choice2, choice3, resp, RT, confresp, confRT
34,"	 You see a mayor trying to ban people from __ in public in his city."""," ""hugging and kissing"""," ""holding hands"""," ""hugging and kissing"""," ""singing songs""", 2@,2.64501, 3#,3.477455
34,"	 You see a teacher ordering a student to __ before coming to class."""," ""get a normal haircut"""," ""get a normal haircut"""," ""cover up her tattoo"""," ""wipe her makeup off""", 1!,4.77971, 2@,6.158569
34,"	 You see an American telling foreigners that the US is __ force in the world."""," ""an evil"""," ""a negative"""," ""an evil"""," ""a destructive""", 1!,7.109888, 2@,8.062651
34,"	 You see a man telling a woman that her painting looks like it __."""," ""was done by children"""," ""belongs in the closet"""," ""is beginner's work"""," ""was done by children""", 3#,3.856041, 3#,4.631769
34,"	 You see a judge taking on __ case although he is friends with the defendant."""," ""a criminal"""," ""a civil"""," ""an appeals"""," ""a criminal""", 3#,8.201375, 3#,9.501115
34,"	 You see a woman drinking her entire cup of __ using a stirring spoon."""," ""coffee"""," ""cocoa"""," ""coffee"""," ""tea""", 2@,2.889771, 3#,3.722639
34,"	 You see a man moving multiple __ pieces while his opponent is distracted."""," ""chess"""," ""checkers"""," ""chess"""," ""backgammon""", 4$,4.130673, 3#,5.000495
34,"	 You see a __ taking all the tips that are supposed to be shared among employees."""," ""barista"""," ""waiter"""," ""barista"""," ""bartender""", 4$,3.256066, 3#,3.989563
34,"	 You see an employee lying about how many hours she worked __."""," ""during the week"""," ""during the week"""," ""over the pay period"""," ""overtime""", 1!,4.086021, 2@,4.954212
34,"	 You see an American __ publicly defecting to Iran for a large sum of money."""," ""celebrity"""," ""talk show host"""," ""newscaster"""," ""celebrity""", 4$,3.228535, 3#,4.050502
34,"	 You see someone wearing a __ costume on a day that is not Halloween."""," ""superhero"""," ""superhero"""," ""pirate"""," ""zombie""", 4$,2.090567, 3#,2.824168
34,"	 You see a college president singing a rival school's fight song during __."""," ""a pep rally"""," ""the homecoming game"""," ""a pep rally"""," ""the championship""", 1!,7.242226, 1!,10.063821
34,"	 You see a man eating a bowl of cereal in the morning with __ instead of milk."""," ""water"""," ""creamer"""," ""orange juice"""," ""water""", 3#,4.802235, 3#,5.619212
34,"	 You see a woman getting hired only because her father __ with the boss."""," ""is close friends"""," ""went to college"""," ""plays golf"""," ""is close friends""", 3#,3.901112, 3#,5.135413
34,"	 You see a homosexual in a gay bar offering sex to anyone who __."""," ""buys him a drink"""," ""will drive him home"""," ""buys him a drink"""," ""wants to have sex""", 2@,4.221075, 3#,6.43257
34,"	 You see a woman buying herself an expensive __ with a stolen credit card."""," ""necklace"""," ""necklace"""," ""bracelet"""," ""pair of earrings""", 4$,3.263974, 3#,4.179149
34,"	 You see a player questioning the __ of his coach during a team practice."""," ""competence"""," ""competence"""," ""athleticism"""," ""intelligence""", 4$,8.544798, 3#,9.64004
34,"	 You see a woman laughing out loud about a young man's __."""," ""receding hairline"""," ""bald spot"""," ""receding hairline"""," ""graying hair""", 4$,3.248226, 3#,4.067833
34,"	 You see a man fulfilling a deceased stranger's request by eating some of his __."""," ""flesh"""," ""skin"""," ""hair"""," ""flesh""", 4$,3.935716, 3#,4.757174
