subID, vignette,correct_answer, choice1, choice2, choice3, resp, RT, confresp, confRT
2," ""You see a man walking down a dark __ while still wearing his sunglasses."""," ""hallway""",hallway,alley,staircase, 2@,4.161743, 2@,5.921519
2," ""You see a man walking down the street wearing a neon green suit with __."""," ""a top hat""",cowboy boots,a long cape,a top hat, 4$,4.764516, 3#,6.137166
2," ""You see a man wearing __ with socks that clearly do not match each other."""," ""a suit""",pants,sandals,a suit, 4$,5.19779, 1!,7.426759
2," ""You see a manager coercing her employees into eating at her brother's __."""," ""diner""",restaurant,café,diner, 1!,4.181955, 2@,6.002432
2," ""You see a mayor trying to ban people from __ in public in his city."""," ""hugging and kissing""",holding hands,singing songs,hugging and kissing, 4$,4.293635, 3#,6.095802
2," ""You see a mother forcing her daughter to enroll as a __ student in college."""," ""pre-med""",pre-med,business,pre-law, 1!,3.884958, 3#,5.481896
2," ""You see a mother preventing her teenage son from wearing __ clothes to school."""," ""pink""",lavender,pink,purple, 4$,9.097735, 2@,10.925628
2," ""You see a mother telling her son that she is going to choose all of his __ ."""," ""friends""",friends,outfits,classes, 2@,4.734603, 3#,6.152846
2," ""You see a mother who is still breast-feeding her needy __."""," ""eight year old""",eight year old,nine year old,seven year old, 4$,3.124739, 3#,4.221737
2," ""You see a player publicly yelling at his soccer coach during __ game."""," ""a play-off""",a tournament,an all-star,a play-off, 3#,5.259587, 3#,7.330919
2," ""You see a player questioning the __ of his coach during a team practice."""," ""competence""",competence,intelligence,athleticism, 2@,5.681022, 2@,9.112147
2," ""You see a politician using federal tax dollars to build an extension on his __."""," ""home""",lake house,beach condo,home, 3#,7.033974, 3#,8.408214
2," ""You see a principal publicly wishing that a rival school wins __."""," ""a prestigious grant""",a prestigious grant,the choir competition,the tournament, 3#,6.387743, 2@,8.541169
2," ""You see a professor forcing all her students to write papers supporting her __."""," ""views""",theories,views,beliefs, 4$,3.721349, 3#,6.258897
2," ""You see a professor giving a __ grade to a student just because he dislikes him."""," ""bad""",lower,failing,bad, 3#,6.072396, 1!,9.117757
2," ""You see a public leader on TV trying to ban the wearing of __."""," ""hooded sweatshirts""",hooded sweatshirts,baggy pants,baseball caps, 4$,5.024618, 2@,6.917911
2," ""You see a runner taking a shortcut on the course during the __ in order to win."""," ""marathon""",triathlon,marathon,relay race, 3#,6.122846, 2@,8.104983
2," ""You see a staff member talking loudly and interrupting the __ speech to the public."""," ""mayor's""",CEO's,mayor's,candidate's, 2@,5.702127, 3#,7.364345
2," ""You see a star player ignoring her coach's order to come to the bench during __."""," ""a game""",a game,a time out,practice, 1!,9.370232, 2@,10.736349
2," ""You see a story about a remote tribe eating the __ of their deceased members."""," ""flesh""",brains,flesh,eyes, 2@,7.336757, 2@,8.935279
2," ""You see a student copying a classmate's answer sheet on a makeup __."""," ""final exam""",quiz,final exam,midterm exam, 3#,7.422172, 2@,8.863423
2," ""You see a student getting an A on a group project when he didn't __."""," ""do his part""",deserve it,do his part,contribute anything, 2@,8.188572, 3#,9.678
2," ""You see a student stating that her professor is __ during an afternoon class."""," ""a fool""",a moron,an idiot,a fool, 4$,6.683172, 1!,7.909879
2," ""You see a student talking back to the __ in front of the classroom."""," ""principal""",principal,superintendent,teacher, 3#,5.374888, 3#,8.65056
2," ""You see a teacher hitting a student's hand with a ruler for __ in class."""," ""falling asleep""",falling asleep,passing notes,daydreaming, 1!,7.527054, 2@,9.969699
2," ""You see a teacher ordering a student to __ before coming to class."""," ""get a normal haircut""",wipe her makeup off,cover up her tattoo,get a normal haircut, 3#,6.462116, 3#,7.697512
2," ""You see a teacher ordering a student to go __ for having a weird hairstyle."""," ""to detention""",to the principal's office,to detention,home, 3#,6.983306, 1!,8.912564
2," ""You see a teacher publicly saying she hopes another school wins the __."""," ""math contest""",math contest,quiz bowl,science fair, 3#,6.736996, 1!,8.297513
2," ""You see a teaching assistant talking back to the teacher in front of the __."""," ""classroom""",classroom,kindergarten class,students, 1!,7.45465, 2@,9.744443
2," ""You see a teenage boy chuckling at an amputee he passes by while on the __."""," ""subway""",sidewalk,subway,train, 2@,8.087906, 2@,10.007348
